IdCliente,NombreCompania,NombreContacto,CargoContacto,Direccion,Ciudad,Region,CodPostal,Pais,Telefono,Fax
FRANR,France restauration,Carine Schmitt,Gerente de Marketing,"54, rue Royale",Nantes,,44000,Francia,40.32.21.21,40.32.21.20
FRANS,Franchi S.p.A.,Paolo Accorti,Representante de Ventas,Via Monte Bianco 34,Torino,,10100,Italia,011-4988260,011-4988261
FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Gerente de Ventas,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
GALED,Galería del gastrónomo,Eduardo Saavedra,Gerente de Marketing,"Rambla de Cataluña, 23",Barcelona,,08022,España,(93) 203 4560,(93) 203 4561
GODOS,Godos Cocina Típica,José Pedro Freyre,Gerente de Ventas,"C/ Romero, 33",Sevilla,,41101,España,(95) 555 82 82,
GOURL,Gourmet Lanchonetes,André Fonseca,Asociado de Ventas,"Av. Brasil, 442",Campinas,SP,04876-786,Brasil,(11) 555-9482,
GREAL,Great Lakes Food Market,Howard Snyder,Gerente de Marketing,2732 Baker Blvd.,Eugene,OR,97403,Estados Unidos,(503) 555-7555,
GROSR,GROSELLA-Restaurante,Manuel Pereira,Propietario,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
HANAR,Hanari Carnes,Mario Pontes,Gerente de Contabilidad,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brasil,(21) 555-0091,(21) 555-8765
HILAA,HILARION-Abastos,Carlos Hernández,Representante de Ventas,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Representante de Ventas,City Center Plaza 516 Main St.,Elgin,OR,97827,Estados Unidos,(503) 555-6874,(503) 555-2376
HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Asociado de Ventas,8 Johnstown Road,Cork,Co. Cork,,Irlanda,2967 542,2967 3333
ISLAT,Island Trading,Helen Bennett,Gerente de Marketing,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,Reino Unido,(198) 555-8888,
KOENE,Königlich Essen,Philip Cramer,Asociado de Ventas,Maubelstr. 90,Brandenburg,,14776,Alemania,0555-09876,
LACOR,La corne d'abondance,Daniel Tonini,Representante de Ventas,"67, avenue de l'Europe",Versailles,,78000,Francia,30.59.84.10,30.59.85.11
LAMAI,La maison d'Asie,Annette Roulet,Gerente de Ventas,1 rue Alsace-Lorraine,Toulouse,,31000,Francia,61.77.61.10,61.77.61.11
LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Asistente de Marketing,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293
LAZYK,Lazy K Kountry Store,John Steel,Gerente de Marketing,12 Orchestra Terrace,Walla Walla,WA,99362,Estados Unidos,(509) 555-7969,(509) 555-6221
LEHMS,Lehmanns Marktstand,Renate Messner,Representante de Ventas,Magazinweg 7,Frankfurt a.M.,,60528,Alemania,069-0245984,069-0245874
LETSS,Let's Stop N Shop,Jaime Yorres,Propietario,87 Polk St. Suite 5,San Francisco,CA,94117,Estados Unidos,(415) 555-5938,
LILAS,LILA-Supermercado,Carlos González,Gerente de Contabilidad,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
LINOD,LINO-Delicateses,Felipe Izquierdo,Propietario,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
LONEP,Lonesome Pine Restaurant,Fran Wilson,Gerente de Ventas,89 Chiaroscuro Rd.,Portland,OR,97219,Estados Unidos,(503) 555-9573,(503) 555-9646
MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Gerente de Marketing,Via Ludovico il Moro 22,Bergamo,,24100,Italia,035-640230,035-640231
MAISD,Maison Dewey,Catherine Dewey,Agente de Ventas,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgica,(02) 201 24 67,(02) 201 24 68
MEREP,Mère Paillarde,Jean Fresnière,Asistente de Marketing,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055
MORGK,Morgenstern Gesundkost,Alexander Feuer,Asistente de Marketing,Heerstr. 22,Leipzig,,04179,Alemania,0342-023176,
NORTS,North/South,Simon Crowther,Asociado de Ventas,South House 300 Queensbridge,London,,SW7 1RZ,Reino Unido,(171) 555-7733,(171) 555-2530
OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Agente de Ventas,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
OLDWO,Old World Delicatessen,Rene Phillips,Representante de Ventas,2743 Bering St.,Anchorage,AK,99508,Estados Unidos,(907) 555-7584,(907) 555-2880
OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Propietario,Mehrheimerstr. 369,Köln,,50739,Alemania,0221-0644327,0221-0765721
PARIS,Paris spécialités,Marie Bertrand,Propietario,"265, boulevard Charonne",Paris,,75012,Francia,(1) 42.34.22.66,(1) 42.34.22.77
PERIC,Pericles Comidas clásicas,Guillermo Fernández,Representante de Ventas,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745
PICCO,Piccolo und mehr,Georg Pipps,Gerente de Ventas,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723
PRINI,Princesa Isabel Vinhos,Isabel de Castro,Representante de Ventas,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,
QUEDE,Que Delícia,Bernardo Batista,Gerente de Contabilidad,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brasil,(21) 555-4252,(21) 555-4545
QUEEN,Queen Cozinha,Lúcia Carvalho,Asistente de Marketing,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brasil,(11) 555-1189,
QUICK,QUICK-Stop,Horst Kloss,Gerente de Contabilidad,Taucherstraße 10,Cunewalde,,01307,Alemania,0372-035188,
RANCH,Rancho grande,Sergio Gutiérrez,Representante de Ventas,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556
RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Representante de Ventas Asistente,2817 Milton Dr.,Albuquerque,NM,87110,Estados Unidos,(505) 555-5939,(505) 555-3620
REGGC,Reggiani Caseifici,Maurizio Moroni,Asociado de Ventas,Strada Provinciale 124,Reggio Emilia,,42100,Italia,0522-556721,0522-556722
RICAR,Ricardo Adocicados,Janete Limeira,Agente de Ventas Asistente,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brasil,(21) 555-3412,
RICSU,Richter Supermarkt,Michael Holz,Gerente de Ventas,Grenzacherweg 237,Genève,,1203,Suiza,0897-034214,
ROMEY,Romero y tomillo,Alejandra Camino,Gerente de Contabilidad,"Gran Vía, 1",Madrid,,28001,España,(91) 745 6200,(91) 745 6210
SANTG,Santé Gourmet,Jonas Bergulfsen,Propietario,Erling Skakkes gate 78,Stavern,,4110,Noruega,07-98 92 35,07-98 92 47
SAVEA,Save-a-lot Markets,Jose Pavarotti,Representante de Ventas,187 Suffolk Ln.,Boise,ID,83720,Estados Unidos,(208) 555-8097,
SEVES,Seven Seas Imports,Hari Kumar,Gerente de Ventas,90 Wadhurst Rd.,London,,OX15 4NB,Reino Unido,(171) 555-1717,(171) 555-5646
SIMOB,Simons bistro,Jytte Petersen,Propietario,Vinbæltet 34,Kobenhavn,,1734,Dinamarca,31 12 34 56,31 13 35 57
SPECD,Spécialités du monde,Dominique Perrier,Gerente de Marketing,"25, rue Lauriston",Paris,,75016,Francia,(1) 47.55.60.10,(1) 47.55.60.20
SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Gerente de Ventas,P.O. Box 555,Lander,WY,82520,Estados Unidos,(307) 555-4680,(307) 555-6525
SUPRD,Suprêmes délices,Pascale Cartrain,Gerente de Contabilidad,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgica,(071) 23 67 22 20,(071) 23 67 22 21
THEBI,The Big Cheese,Liz Nixon,Gerente de Marketing,89 Jefferson Way Suite 2,Portland,OR,97201,Estados Unidos,(503) 555-3612,
THECR,The Cracker Box,Liu Wong,Asistente de Marketing,55 Grizzly Peak Rd.,Butte,MT,59801,Estados Unidos,(406) 555-5834,(406) 555-8083
TOMSP,Toms Spezialitäten,Karin Josephs,Gerente de Marketing,Luisenstr. 48,Münster,,44087,Alemania,0251-031259,0251-035695
TORTU,Tortuga Restaurante,Miguel Angel Paolino,Propietario,Avda. Azteca 123,México D.F.,,05033,Mexico,(5) 555-2933,
TRADH,Tradição Hipermercados,Anabela Domingues,Representante de Ventas,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brasil,(11) 555-2167,(11) 555-2168
TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Asociado de Ventas,722 DaVinci Blvd.,Kirkland,WA,98034,Estados Unidos,(206) 555-8257,(206) 555-2174
VAFFE,Vaffeljernet,Palle Ibsen,Gerente de Ventas,Smagsloget 45,Århus,,8200,Dinamarca,86 21 32 43,86 22 33 44
VICTE,Victuailles en stock,Mary Saveley,Agente de Ventas,"2, rue du Commerce",Lyon,,69004,Francia,78.32.54.86,78.32.54.87
VINET,Vins et alcools Chevalier,Paul Henriot,Gerente de Contabilidad,59 rue de l'Abbaye,Reims,,51100,Francia,26.47.15.10,26.47.15.11
WANDK,Die Wandernde Kuh,Rita Müller,Representante de Ventas,Adenauerallee 900,Stuttgart,,70563,Alemania,0711-020361,0711-035428
WARTH,Wartian Herkku,Pirkko Koskitalo,Gerente de Contabilidad,Torikatu 38,Oulu,,90110,Finlandia,981-443655,981-443655
WELLI,Wellington Importadora,Paula Parente,Gerente de Ventas,"Rua do Mercado, 12",Resende,SP,08737-363,Brasil,(14) 555-8122,
WHITC,White Clover Markets,Karl Jablonski,Propietario,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,Estados Unidos,(206) 555-4112,(206) 555-4115
WILMK,Wilman Kala,Matti Karttunen,Propietario/Asistente de Marketing,Keskuskatu 45,Helsinki,,21240,Finlandia,90-224 8858,90-224 8858
WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Propietario,ul. Filtrowa 68,Warszawa,,01-012,Polonia,(26) 642-7012,(26) 642-7012
